flag,slug,dealpackage,airport,traveldate,todate,package_price
Published,,7 Nights,Toronto,2025/05/08,2025/05/15,1199
Published,,7 Nights,Toronto,2025/05/13,2025/05/20,1199
Published,,7 Nights,Toronto,2025/05/26,2025/06/02,1199
Published,,7 Nights,Toronto,2025/05/31,2025/06/07,1199
Published,,7 Nights,Toronto,2025/06/01,2025/06/08,1199
Published,,7 Nights,Toronto,2025/06/02,2025/06/09,1199
Published,,7 Nights,Toronto,2025/06/03,2025/06/10,1199
Published,,7 Nights,Toronto,2025/06/04,2025/06/11,1199
Published,,7 Nights,Toronto,2025/06/06,2025/06/13,1199
Published,,7 Nights,Toronto,2025/06/07,2025/06/14,1199
Published,,7 Nights,Toronto,2025/06/08,2025/06/15,1199
Published,,7 Nights,Toronto,2025/06/09,2025/06/16,1199
Published,,7 Nights,Toronto,2025/06/10,2025/06/17,1199
Published,,7 Nights,Toronto,2025/06/18,2025/06/25,1199
Published,,7 Nights,Toronto,2025/06/22,2025/06/29,1199
Published,,7 Nights,Toronto,2025/08/27,2025/09/03,1199
Published,,7 Nights,Toronto,2025/08/30,2025/09/06,1199
Published,,7 Nights,Toronto,2025/09/06,2025/09/13,1199
Published,,7 Nights,Toronto,2025/09/09,2025/09/16,1199
Published,,7 Nights,Toronto,2025/09/13,2025/09/20,1199
Published,,7 Nights,Toronto,2025/09/20,2025/09/27,1199
Published,,7 Nights,Toronto,2025/09/27,2025/10/04,1199
Published,,7 Nights,Toronto,2025/10/04,2025/10/11,1199
Published,,7 Nights,Toronto,2025/05/05,2025/05/12,1299
Published,,7 Nights,Toronto,2025/05/06,2025/05/13,1299
Published,,7 Nights,Toronto,2025/05/07,2025/05/14,1299
Published,,7 Nights,Toronto,2025/05/19,2025/05/26,1299
Published,,7 Nights,Toronto,2025/05/25,2025/06/01,1299
Published,,7 Nights,Toronto,2025/05/27,2025/06/03,1299
Published,,7 Nights,Toronto,2025/05/29,2025/06/05,1299
Published,,7 Nights,Toronto,2025/05/30,2025/06/06,1299
Published,,7 Nights,Toronto,2025/06/05,2025/06/12,1299
Published,,7 Nights,Toronto,2025/06/11,2025/06/18,1299
Published,,7 Nights,Toronto,2025/06/14,2025/06/21,1299
Published,,7 Nights,Toronto,2025/06/15,2025/06/22,1299
Published,,7 Nights,Toronto,2025/06/17,2025/06/24,1299
Published,,7 Nights,Toronto,2025/08/29,2025/09/05,1299
Published,,7 Nights,Toronto,2025/08/31,2025/09/07,1299
Published,,7 Nights,Toronto,2025/09/03,2025/09/10,1299
Published,,7 Nights,Toronto,2025/09/05,2025/09/12,1299
Published,,7 Nights,Toronto,2025/09/07,2025/09/14,1299
Published,,7 Nights,Toronto,2025/09/10,2025/09/17,1299
Published,,7 Nights,Toronto,2025/09/12,2025/09/19,1299
Published,,7 Nights,Toronto,2025/09/14,2025/09/21,1299
Published,,7 Nights,Toronto,2025/09/16,2025/09/23,1299
Published,,7 Nights,Toronto,2025/09/17,2025/09/24,1299
Published,,7 Nights,Toronto,2025/09/21,2025/09/28,1299
Published,,7 Nights,Toronto,2025/09/23,2025/09/30,1299
Published,,7 Nights,Toronto,2025/09/24,2025/10/01,1299
Published,,7 Nights,Toronto,2025/09/30,2025/10/07,1299
Published,,7 Nights,Toronto,2025/10/11,2025/10/18,1299
Published,,7 Nights,Toronto,2025/10/18,2025/10/25,1299
Published,,7 Nights,Ottawa,2025/05/06,2025/05/13,1299
Published,,7 Nights,Ottawa,2025/05/30,2025/06/06,1299
Published,,7 Nights,Ottawa,2025/06/04,2025/06/11,1299
Published,,7 Nights,Ottawa,2025/06/09,2025/06/16,1299
Published,,7 Nights,Ottawa,2025/06/10,2025/06/17,1299
Published,,7 Nights,Ottawa,2025/06/18,2025/06/25,1299
Published,,7 Nights,Ottawa,2025/09/02,2025/09/09,1299
Published,,7 Nights,Ottawa,2025/09/05,2025/09/12,1299
Published,,7 Nights,Ottawa,2025/09/20,2025/09/27,1299
Published,,7 Nights,Calgary,2025/05/26,2025/06/02,1299
Published,,7 Nights,Calgary,2025/06/02,2025/06/09,1299
Published,,7 Nights,Calgary,2025/06/09,2025/06/16,1299
