flag,slug,dealpackage,airport,traveldate,todate,package_price
Published,,7 Nights,London,2025/04/22,2025/04/29,349
Published,,7 Nights,London,2025/04/23,2025/04/30,349
Published,,7 Nights,London,2025/04/24,2025/05/01,349
Published,,7 Nights,Bristol,2025/04/26,2025/05/03,349
Published,,7 Nights,Glasgow,2025/04/01,2025/04/08,349
Published,,7 Nights,London,2025/04/25,2025/05/02,379
Published,,7 Nights,London,2025/04/26,2025/05/03,379
Published,,7 Nights,London,2025/04/27,2025/05/04,379
Published,,7 Nights,London,2025/04/29,2025/05/06,379
Published,,7 Nights,London,2025/04/30,2025/05/07,379
Published,,7 Nights,London,2025/04/01,2025/04/08,399
Published,,7 Nights,London,2025/04/28,2025/05/05,399
Published,,7 Nights,London,2025/05/06,2025/05/13,399
Published,,7 Nights,London,2025/05/07,2025/05/14,399
Published,,7 Nights,London,2025/05/08,2025/05/15,399
Published,,7 Nights,London,2025/05/09,2025/05/16,399
Published,,7 Nights,London,2025/05/10,2025/05/17,399
Published,,7 Nights,London,2025/05/15,2025/05/22,399
Published,,7 Nights,Edinburgh,2025/04/23,2025/04/30,399
Published,,7 Nights,Birmingham,2025/04/29,2025/05/06,399
Published,,7 Nights,Glasgow,2025/04/22,2025/04/29,399
Published,,7 Nights,Glasgow,2025/04/25,2025/05/02,399
Published,,7 Nights,London,2025/04/19,2025/04/26,429
Published,,7 Nights,London,2025/04/20,2025/04/27,429
Published,,7 Nights,London,2025/04/21,2025/04/28,429
Published,,7 Nights,London,2025/05/01,2025/05/08,429
Published,,7 Nights,London,2025/05/02,2025/05/09,429
Published,,7 Nights,London,2025/05/03,2025/05/10,429
Published,,7 Nights,London,2025/05/04,2025/05/11,429
Published,,7 Nights,London,2025/05/05,2025/05/12,429
Published,,7 Nights,London,2025/05/11,2025/05/18,429
Published,,7 Nights,London,2025/05/12,2025/05/19,429
Published,,7 Nights,London,2025/05/13,2025/05/20,429
Published,,7 Nights,London,2025/05/14,2025/05/21,429
