flag,slug,dealpackage,airport,traveldate,todate,package_price
Published,,7 Nights,London,2025/04/22,2025/04/29,349
Published,,7 Nights,London,2025/04/23,2025/04/30,349
Published,,7 Nights,London,2025/04/24,2025/05/01,349
Published,,7 Nights,London,2025/10/11,2025/10/18,349
Published,,7 Nights,London,2025/10/12,2025/10/19,349
Published,,7 Nights,London,2025/10/13,2025/10/20,349
Published,,7 Nights,London,2025/10/14,2025/10/21,349
Published,,7 Nights,London,2025/10/15,2025/10/22,349
Published,,7 Nights,London,2025/10/16,2025/10/23,349
Published,,7 Nights,Manchester,2025/10/11,2025/10/18,349
Published,,7 Nights,Bristol,2025/10/12,2025/10/19,349
Published,,7 Nights,Bristol,2025/10/18,2025/10/25,349
Published,,7 Nights,Liverpool,2025/10/13,2025/10/20,349
Published,,7 Nights,Liverpool,2025/10/17,2025/10/24,349
Published,,7 Nights,London,2025/04/18,2025/04/25,379
Published,,7 Nights,London,2025/04/19,2025/04/26,379
Published,,7 Nights,London,2025/04/21,2025/04/28,379
Published,,7 Nights,London,2025/05/07,2025/05/14,379
Published,,7 Nights,London,2025/05/08,2025/05/15,379
Published,,7 Nights,London,2025/09/26,2025/10/03,379
Published,,7 Nights,London,2025/09/28,2025/10/05,379
Published,,7 Nights,London,2025/10/17,2025/10/24,379
Published,,7 Nights,London,2025/10/18,2025/10/25,379
Published,,7 Nights,Manchester,2025/10/18,2025/10/25,379
Published,,7 Nights,Bristol,2025/04/22,2025/04/29,379
Published,,7 Nights,Bristol,2025/10/11,2025/10/18,379
Published,,7 Nights,Bristol,2025/10/13,2025/10/20,379
Published,,7 Nights,Birmingham,2025/04/24,2025/05/01,379
Published,,7 Nights,London,2025/04/16,2025/04/23,399
Published,,7 Nights,London,2025/04/17,2025/04/24,399
Published,,7 Nights,London,2025/05/05,2025/05/12,399
Published,,7 Nights,London,2025/05/06,2025/05/13,399
Published,,7 Nights,London,2025/05/09,2025/05/16,399
Published,,7 Nights,London,2025/05/12,2025/05/19,399
